Year,WinTeam,LoseTeam,Win,Efficiency Margin,Offensive Efficiency,Defensive Efficiency,Tempo,Luck,Strength of Schedule,Opponent Offense,Opponent Defense,Non-Conference Strength of Schedule
2002,Siena,Alcorn St.,1,7.489999999999999,0.5,-7.0,-5.299999999999997,-0.16699999999999998,11.34,5.5,-5.800000000000011,1.1400000000000001
2002,Alabama,Florida Atlantic,1,21.21,14.400000000000006,-6.799999999999997,-2.5,0.015,15.02,6.0,-9.0,7.8500000000000005
2002,Arizona,UC Santa Barbara,1,11.62,11.100000000000009,-0.5,8.200000000000003,0.138,14.25,8.5,-5.799999999999997,15.82
2002,Duke,Winthrop,1,39.47,23.700000000000003,-15.799999999999997,7.900000000000006,-0.066,20.9,12.399999999999991,-8.5,8.92
2002,Indiana,Utah,1,10.690000000000001,2.5999999999999943,-8.0,3.1999999999999957,-0.060000000000000005,7.79,4.099999999999994,-3.5999999999999943,9.94
2002,Kansas,Holy Cross,1,29.25,20.700000000000003,-8.5,14.100000000000009,0.07100000000000001,17.29,10.899999999999991,-6.300000000000011,12.08
2002,Kent St.,Oklahoma St.,0,4.6800000000000015,9.099999999999994,4.299999999999997,-1.9000000000000057,-0.04,-4.9,-2.200000000000003,2.6999999999999886,-0.7700000000000002
2002,Kentucky,Valparaiso,1,8.55,2.200000000000003,-6.3999999999999915,-0.6000000000000085,0.0030000000000000027,15.6,7.700000000000003,-7.799999999999997,8.299999999999999
2002,Missouri,Miami FL,0,1.6600000000000001,5.900000000000006,4.200000000000003,0.8000000000000114,-0.027000000000000003,1.7199999999999989,2.6999999999999886,0.8999999999999915,3.81
2002,Notre Dame,Charlotte,1,3.519999999999998,1.9000000000000057,-1.6000000000000085,1.7999999999999972,-0.07899999999999999,-2.34,-2.200000000000003,0.20000000000000284,-8.95
2002,Ohio St.,Davidson,1,16.11,15.0,-1.1000000000000085,0.09999999999999432,-0.138,7.410000000000001,3.1999999999999886,-4.200000000000003,-4.0
2002,Oregon,Montana,1,27.42,16.900000000000006,-10.5,2.799999999999997,-0.094,10.739999999999998,5.200000000000003,-5.6000000000000085,-1.85
2002,Stanford,Western Kentucky,1,5.800000000000001,6.299999999999997,0.5,2.4000000000000057,-0.08,10.57,7.299999999999997,-3.200000000000003,4.12
2002,Tulsa,Marquette,0,-5.830000000000002,2.700000000000003,8.600000000000009,4.599999999999994,-0.005999999999999999,-3.47,-1.8999999999999915,1.5,-1.56
2002,UNC Wilmington,USC,0,-9.290000000000001,-5.299999999999997,4.0,-6.5,0.048999999999999995,-9.14,-6.400000000000006,2.799999999999997,1.9600000000000002
2002,Wake Forest,Pepperdine,1,5.66,7.599999999999994,1.8999999999999915,-2.0999999999999943,-0.055,8.22,4.0,-4.200000000000003,-2.8200000000000003
2002,Wyoming,Gonzaga,0,-7.469999999999999,-7.700000000000003,-0.30000000000001137,-1.0999999999999943,-0.017,2.9099999999999997,2.0,-0.7999999999999972,-7.709999999999999
2002,California,Penn,1,3.830000000000002,-0.3999999999999915,-4.200000000000003,1.5,0.10700000000000001,10.85,6.200000000000003,-4.599999999999994,-3.19
2002,Cincinnati,Boston University,1,32.94,16.900000000000006,-16.0,2.6999999999999886,-0.09999999999999999,17.09,9.5,-7.5,7.76
2002,Connecticut,Hampton,1,15.339999999999998,2.5,-12.799999999999997,0.3999999999999915,0.049,18.22,9.600000000000009,-8.5,5.62
2002,Creighton,Florida,0,-12.93,-3.700000000000003,9.200000000000003,-2.4000000000000057,0.101,-8.42,-3.5999999999999943,4.799999999999997,0.20999999999999996
2002,Georgia,Murray St.,1,17.099999999999998,9.899999999999991,-7.300000000000011,-0.5999999999999943,-0.038000000000000006,12.12,5.200000000000003,-7.0,0.7699999999999996
2002,Illinois,San Diego St.,1,13.870000000000001,8.799999999999997,-5.099999999999994,-1.0,-0.039,5.470000000000001,3.299999999999997,-2.1999999999999886,6.8100000000000005
2002,Maryland,Siena,1,30.439999999999998,18.60000000000001,-11.799999999999997,5.799999999999997,0.095,14.22,9.200000000000003,-5.0,6.27
2002,Mississippi St.,McNeese St.,1,12.870000000000001,8.200000000000003,-4.700000000000003,0.9000000000000057,0.08399999999999999,14.120000000000001,7.400000000000006,-6.700000000000003,-7.6000000000000005
2002,North Carolina St.,Michigan St.,1,2.2799999999999976,0.29999999999999716,-2.0,3.8999999999999915,0.038000000000000006,-2.1400000000000006,-0.20000000000000284,1.9000000000000057,-6.8100000000000005
2002,Oklahoma,Illinois Chicago,1,22.14,6.099999999999994,-16.0,-1.0,0.0040000000000000036,7.890000000000001,5.5,-2.3999999999999915,2.69
2002,Pittsburgh,Central Connecticut,1,19.040000000000003,11.599999999999994,-7.3999999999999915,-0.7000000000000028,-0.137,16.049999999999997,6.799999999999997,-9.299999999999997,-3.86
2002,Southern Illinois,Texas Tech,0,-3.710000000000001,-5.300000000000011,-1.7000000000000028,-0.29999999999999716,-0.026999999999999996,-6.050000000000001,-2.3999999999999915,3.700000000000003,-0.43999999999999995
2002,Texas,Boston College,1,7.690000000000001,6.700000000000003,-1.0,-0.29999999999999716,-0.061,3.54,3.700000000000003,0.09999999999999432,7.619999999999999
2002,UCLA,Mississippi,1,-0.370000000000001,0.3999999999999915,0.7999999999999972,3.299999999999997,0.089,4.789999999999999,4.200000000000003,-0.5,15.120000000000001
2002,Wisconsin,St. John's,1,4.220000000000001,8.0,3.700000000000003,-6.1000000000000085,-0.04000000000000001,3.129999999999999,1.8999999999999915,-1.0999999999999943,7.12
